			Incarcerated population by race/ethnicity in Census 2010- men plus women (18+)																																Incarcerated population by race/ethnicity in Census 2010- men																																Incarcerated population by race/ethnicity in Census 2010- women 																															
0400000US10	10	Delaware	6439.00	2527.00	3824.00	6.00	8.00	4.00	46.00	24.00	183.00	2429.00		897934.00	618617.00	191814.00	4181.00	28549.00	400.00	30519.00	23854.00	73221.00	586752.00		717.00	408.00	1994.00	144.00	28.00	1000.00	151.00	101.00	250.00	414.00	6018.00	2291.00	3649.00	5.00	5.00	2.00	45.00	21.00	181.00	2194.00		434939.00	300727.00	90591.00	2104.00	13711.00	198.00	16263.00	11345.00	37926.00	284300.00		1384.00	762.00	4028.00	238.00	36.00	1010.00	277.00	185.00	477.00	772.00	421.00	236.00	175.00	1.00	3.00	2.00	1.00	3.00	2.00	235.00		462995.00	317890.00	101223.00	2077.00	14838.00	202.00	14256.00	12509.00	35295.00	302452.00		91.00	74.00	173.00	48.00	20.00	990.00	7.00	24.00	6.00	78.00
0400000US11	11	District of Columbia	3570.00	204.00	3120.00	21.00	22.00	1.00	99.00	103.00	287.00	105.00		601723.00	231471.00	305125.00	2079.00	21056.00	302.00	24374.00	17316.00	54749.00	209464.00		593.00	88.00	1023.00	1010.00	104.00	331.00	406.00	595.00	524.00	50.00	3107.00	158.00	2734.00	19.00	18.00	1.00	95.00	82.00	261.00	73.00		284222.00	114740.00	138512.00	1029.00	8807.00	157.00	13066.00	7911.00	28258.00	103709.00		1093.00	138.00	1974.00	1846.00	204.00	637.00	727.00	1037.00	924.00	70.00	463.00	46.00	386.00	2.00	4.00	0.00	4.00	21.00	26.00	32.00		317501.00	116731.00	166613.00	1050.00	12249.00	145.00	11308.00	9405.00	26491.00	105755.00		146.00	39.00	232.00	190.00	33.00	0.00	35.00	223.00	98.00	30.00
0400000US12	12	Florida	166247.00	85756.00	75880.00	421.00	447.00	36.00	2399.00	1308.00	22490.00	67838.00		18801310.00	14109162.00	2999862.00	71458.00	454821.00	12286.00	681144.00	472577.00	4223806.00	10884722.00		884.00	608.00	2529.00	589.00	98.00	293.00	352.00	277.00	532.00	623.00	150114.00	75426.00	70619.00	360.00	388.00	31.00	2158.00	1132.00	20681.00	58876.00		9189355.00	6908034.00	1443269.00	36944.00	209802.00	6317.00	353503.00	231486.00	2086858.00	5335517.00		1634.00	1092.00	4893.00	974.00	185.00	491.00	610.00	489.00	991.00	1103.00	16133.00	10330.00	5261.00	61.00	59.00	5.00	241.00	176.00	1809.00	8962.00		9611955.00	7201128.00	1556593.00	34514.00	245019.00	5969.00	327641.00	241091.00	2136948.00	5549205.00		168.00	143.00	338.00	177.00	24.00	84.00	74.00	73.00	85.00	162.00
0400000US13	13	Georgia	103117.00	39256.00	59379.00	186.00	378.00	41.00	3132.00	745.00	9328.00	34481.00		9687653.00	5787440.00	2950435.00	32151.00	314467.00	6799.00	388872.00	207489.00	853689.00	5413920.00		1064.00	678.00	2013.00	579.00	120.00	603.00	805.00	359.00	1093.00	637.00	94011.00	34387.00	55311.00	167.00	348.00	40.00	3067.00	691.00	9016.00	29795.00		4729171.00	2858745.00	1380705.00	16571.00	151962.00	3631.00	216064.00	101493.00	460450.00	2661293.00		1988.00	1203.00	4006.00	1008.00	229.00	1102.00	1419.00	681.00	1958.00	1120.00	9106.00	4869.00	4068.00	19.00	30.00	1.00	65.00	54.00	312.00	4686.00		4958482.00	2928695.00	1569730.00	15580.00	162505.00	3168.00	172808.00	105996.00	393239.00	2752627.00		184.00	166.00	259.00	122.00	18.00	32.00	38.00	51.00	79.00	170.00
0400000US15	15	Hawaii	5673.00	1397.00	221.00	26.00	1208.00	2187.00	176.00	458.00	501.00	1275.00		1360301.00	336599.00	21424.00	4164.00	525078.00	135422.00	16985.00	320629.00	120842.00	309343.00		417.00	415.00	1032.00	624.00	230.00	1615.00	1036.00	143.00	415.00	412.00	4577.00	1112.00	194.00	18.00	1011.00	1748.00	162.00	332.00	400.00	1018.00		681243.00	181197.00	13266.00	2223.00	245177.00	68829.00	9332.00	161219.00	61084.00	167076.00		672.00	614.00	1462.00	810.00	412.00	2540.00	1736.00	206.00	655.00	609.00	1096.00	285.00	27.00	8.00	197.00	439.00	14.00	126.00	101.00	257.00		679058.00	155402.00	8158.00	1941.00	279901.00	66593.00	7653.00	159410.00	59758.00	142267.00		161.00	183.00	331.00	412.00	70.00	659.00	183.00	79.00	169.00	181.00
0400000US16	16	Idaho	11251.00	9764.00	318.00	377.00	30.00	21.00	543.00	198.00	1800.00	8610.00		1567582.00	1396487.00	9810.00	21441.00	19069.00	2317.00	79523.00	38935.00	175901.00	1316243.00		718.00	699.00	3242.00	1758.00	157.00	906.00	683.00	509.00	1023.00	654.00	9778.00	8477.00	287.00	317.00	27.00	17.00	481.00	172.00	1603.00	7446.00		785324.00	697198.00	5746.00	10685.00	8476.00	1249.00	42522.00	19448.00	91607.00	656298.00		1245.00	1216.00	4995.00	2967.00	319.00	1361.00	1131.00	884.00	1750.00	1135.00	1473.00	1287.00	31.00	60.00	3.00	4.00	62.00	26.00	197.00	1164.00		782258.00	699289.00	4064.00	10756.00	10593.00	1068.00	37001.00	19487.00	84294.00	659945.00		188.00	184.00	763.00	558.00	28.00	375.00	168.00	133.00	234.00	176.00
0400000US17	17	Illinois	70218.00	25788.00	39334.00	360.00	249.00	14.00	4048.00	425.00	9507.00	20920.00		12830632.00	9177877.00	1866414.00	43963.00	586934.00	4050.00	861412.00	289982.00	2027578.00	8167753.00		547.00	281.00	2107.00	819.00	42.00	346.00	470.00	147.00	469.00	256.00	64482.00	22956.00	36662.00	307.00	205.00	12.00	3951.00	389.00	9051.00	18403.00		6292276.00	4517187.00	873686.00	22550.00	282459.00	2081.00	449918.00	144395.00	1046609.00	4000039.00		1025.00	508.00	4196.00	1361.00	73.00	577.00	878.00	269.00	865.00	460.00	5736.00	2832.00	2672.00	53.00	44.00	2.00	97.00	36.00	456.00	2517.00		6538356.00	4660690.00	992728.00	21413.00	304475.00	1969.00	411494.00	145587.00	980969.00	4167714.00		88.00	61.00	269.00	248.00	14.00	102.00	24.00	25.00	46.00	60.00
0400000US18	18	Indiana	48394.00	30666.00	16508.00	164.00	77.00	13.00	742.00	224.00	3018.00	28522.00		6483802.00	5467906.00	591397.00	18462.00	102474.00	2348.00	173314.00	127901.00	389707.00	5286453.00		746.00	561.00	2791.00	888.00	75.00	554.00	428.00	175.00	774.00	540.00	43959.00	27270.00	15582.00	152.00	70.00	13.00	682.00	190.00	2877.00	25204.00		3189737.00	2689711.00	283552.00	9371.00	49472.00	1166.00	93485.00	62980.00	204937.00	2595914.00		1378.00	1014.00	5495.00	1622.00	141.00	1115.00	730.00	302.00	1404.00	971.00	4435.00	3396.00	926.00	12.00	7.00	0.00	60.00	34.00	141.00	3318.00		3294065.00	2778195.00	307845.00	9091.00	53002.00	1182.00	79829.00	64921.00	184770.00	2690539.00		135.00	122.00	301.00	132.00	13.00	0.00	75.00	52.00	76.00	123.00
0400000US19	19	Iowa	13270.00	9541.00	3085.00	249.00	91.00	13.00	145.00	146.00	1042.00	8725.00		3046355.00	2781561.00	89148.00	11084.00	53094.00	2003.00	56132.00	53333.00	151544.00	2701123.00		436.00	343.00	3461.00	2246.00	171.00	649.00	258.00	274.00	688.00	323.00	11785.00	8387.00	2829.00	214.00	82.00	10.00	136.00	127.00	973.00	7627.00		1508319.00	1370991.00	47141.00	5496.00	26339.00	1040.00	30502.00	26810.00	79991.00	1329189.00		781.00	612.00	6001.00	3894.00	311.00	962.00	446.00	474.00	1216.00	574.00	1485.00	1154.00	256.00	35.00	9.00	3.00	9.00	19.00	69.00	1098.00		1538036.00	1410570.00	42007.00	5588.00	26755.00	963.00	25630.00	26523.00	71553.00	1371934.00		97.00	82.00	609.00	626.00	34.00	312.00	35.00	72.00	96.00	80.00
0400000US20	20	Kansas	17952.00	11333.00	5537.00	335.00	157.00	7.00	351.00	232.00	2600.00	9290.00		2853118.00	2391044.00	167864.00	28150.00	67762.00	2238.00	110127.00	85933.00	300042.00	2230539.00		629.00	474.00	3299.00	1190.00	232.00	313.00	319.00	270.00	867.00	416.00	16484.00	10311.00	5182.00	299.00	138.00	7.00	343.00	204.00	2443.00	8397.00		1415408.00	1180357.00	85849.00	14005.00	32471.00	1205.00	58935.00	42586.00	156485.00	1097741.00		1165.00	874.00	6036.00	2135.00	425.00	581.00	582.00	479.00	1561.00	765.00	1468.00	1022.00	355.00	36.00	19.00	0.00	8.00	28.00	157.00	893.00		1437710.00	1210687.00	82015.00	14145.00	35291.00	1033.00	51192.00	43347.00	143557.00	1132798.00		102.00	84.00	433.00	255.00	54.00	0.00	16.00	65.00	109.00	79.00
